,Unnamed: 0,streetname,startstreet,endstreet,segment_score,road_ids,address_nos,yelp_ids,yelp_address_nos,accident_count,business_count
140,140,Colony Rd,3000,3500,17,['290ebb906846d1a76a9fca123a58bf37c20d035c'],[3001.0],[],[],1,0
141,141,Colony Rd,3500,4000,22,['eafe91355cf5cac6772df182e4bd9bef4e14906e'],[3605.0],[],[],1,0
142,142,Colony Rd,4000,4500,0,[],[],[],[],0,0
143,143,Colony Rd,4500,5000,0,[],[],[],[],0,0
144,144,Colony Rd,5000,5500,0,[],[],[],[],0,0
145,145,Colony Rd,5500,6000,0,[],[],[],[],0,0
146,146,Colony Rd,6000,6500,0,[],[],[],[],0,0
147,147,Colony Rd,6500,7000,16,['090c744c163fd378bafd2bbed1c4ec3dd0113cfa'],[6803.0],[],[],1,0
148,148,Colony Rd,7000,7500,0,[],[],[],[],0,0
149,149,Colony Rd,7500,8000,28,['4a37b887dd64c6aec713e961c98a8b48d088637a'],[7704.0],[],[],1,0
150,150,Columbus Crk,2000,2500,16,['3d2589de5c216ce0c23ee96ce109de0121424e32'],[2434.0],[],[],1,0
151,151,Columbus Crk,2500,3000,0,[],[],[],[],0,0
152,152,Commonwealth Ave,1000,1500,0,[],[],[],[],0,0
153,153,Commonwealth Ave,1500,2000,48,"['7f7935d943840540dec8f9103bfa705f430509c0', '678235671ae6817a2817ce0c757e970e4e375d79']","[1800.0, 1800.0]","['QFqtVX-lyZQgVHQrG-dhlg', '1bXC3NewRsBL1gecvGXA-g']","[1901.0, 1801.0]",2,2
154,154,Concord Rd,8000,8500,31,['c90a68f093cd8c75ab7be7f1f3ce1fc86d4c7486'],[8417.0],[],[],1,0
155,155,Concord Rd,8500,9000,0,[],[],[],[],0,0
156,156,Conway Ave,4000,4500,20,['378f7a4a3479bce4872753b2506e9040501c778e'],[4034.0],[],[],1,0
157,157,Conway Ave,4500,5000,0,[],[],[],[],0,0
158,158,Cotillion Ave,3000,3500,0,[],[],[],[],0,0
159,159,Cotillion Ave,3500,4000,25,['3176b70db8c8569dac299c4ae43aedc15e2e8558'],[3541.0],[],[],1,0
160,160,Country Club Dr,3000,3500,22,['a76549d3346dff0c907b01265a512780e18c0399'],[3116.0],[],[],1,0
161,161,Country Club Dr,3500,4000,45,"['bd4b1decafc864fe393628e1b67e8ce03041d5dc', 'd1b5201c4439667ccee3026ae38062a392511517']","[3701.0, 3801.0]",[],[],2,0
162,162,Cowles Rd,2000,2500,0,[],[],[],[],0,0
163,163,Cowles Rd,2500,3000,15,['d3cad78f7ee50a1b9d40f01967fde7189d8d7212'],[2753.0],[],[],1,0
164,164,Craftsbury Dr,5000,5500,0,[],[],[],[],0,0
165,165,Craftsbury Dr,5500,6000,19,['01ef71f19ed622f4aa4b4dee1fcf094104afde21'],[5914.0],[],[],1,0
166,166,Craigwood Dr,4000,4500,0,[],[],[],[],0,0
167,167,Craigwood Dr,4500,5000,14,['216a9b5c0722615c41328f93e0601698d40a1adb'],[4509.0],[],[],1,0
168,168,Credenza Rd,3000,3500,30,['7e3600f42be9d2f479037f1326867faa86fff2cb'],[3208.0],[],[],1,0
169,169,Credenza Rd,3500,4000,0,[],[],[],[],0,0
170,170,Crestridge Dr,3000,3500,0,[],[],[],[],0,0
171,171,Crestridge Dr,3500,4000,26,['b4c091e5d768d67a5dd7842f899dabc2b1ae51cb'],[3626.0],[],[],1,0
172,172,Cumberland Ave,2000,2500,28,['74f9ca434af837e9c01e1f276057e3ca903fd9f7'],[2418.0],[],[],1,0
173,173,Cumberland Ave,2500,3000,0,[],[],[],[],0,0
174,174,Davis Lake Py,8000,8500,9,['54cdb1825699d2e71ccb7b62def7abf4d63418b9'],[8437.0],[],[],1,0
175,175,Davis Lake Py,8500,9000,0,[],[],[],[],0,0
176,176,Deanna Ln,100,600,17,['85e158a3b7b0b28ed75686d6a5f5fc8d2542c086'],[100.0],[],[],1,0
177,177,Deanna Ln,600,1100,0,[],[],[],[],0,0
178,178,Dearmon Rd,12000,12500,0,[],[],[],[],0,0
179,179,Dearmon Rd,12500,13000,22,['19ce0933ae31f582d510dac2c7bd02d45a1f7a0b'],[12585.0],[],[],1,0
180,180,Deermont Ct,6000,6500,0,[],[],[],[],0,0
181,181,Deermont Ct,6500,7000,24,['3140ce8903491b5e172a91fb12f676a322d728bf'],[6500.0],[],[],1,0
182,182,Dekalb Pl,11000,11500,24,['9f420190204e5df49c5125266599e81d733e1f8f'],[11010.0],[],[],1,0
183,183,Dekalb Pl,11500,12000,0,[],[],[],[],0,0
184,184,Dilworth Heights Ln,2000,2500,0,[],[],[],[],0,0
185,185,Dilworth Heights Ln,2500,3000,27,['fa4c3c28fabb97b06dd4cb640a5610fc4bebe0f5'],[2724.0],[],[],1,0
186,186,Dion Ave,2000,2500,0,[],[],[],[],0,0
187,187,Dion Ave,2500,3000,22,['70ac74cd4614d91b4c7f4aa2654d74da8505c8c2'],[2617.0],[],[],1,0
188,188,Dunlavin Way,2000,2500,12,['5ad07982c54db2c45f8d17704b349ab614266d99'],[2442.0],[],[],1,0
189,189,Dunlavin Way,2500,3000,0,[],[],[],[],0,0
190,190,E 18th St,100,600,0,[],[],[],[],0,0
191,191,E 18th St,600,1100,70,"['5456b8633b622d340dafcb08820686f7745c6963', '8ff8368869e30c96d4db2952434e203b6da9d3c7', '385b1571e72017f01c49437915f4dc5860f0df1b']","[629.0, 700.0, 1048.0]",[],[],3,0
192,192,E 18th St,1100,1600,0,[],[],[],[],0,0
193,193,E 18th St,1600,2100,0,[],[],[],[],0,0
194,194,E 20th St,100,600,0,[],[],[],[],0,0
195,195,E 20th St,600,1100,27,['6c5e5206022470c5e560903da35caafa5d5178f5'],[801.0],[],[],1,0
196,196,E 4th St,100,600,72,"['9c7758b31b9dd59b510e45cf19987711775e453d', 'd8740bd8c41510a9e5c6e2f68014ff8db4bf752b', '70685f010df87fb3cd77bb4f358f8f364fd9e47b']","[103.0, 103.0, 126.0]","['H4E4sZ6PKBef65hU0GKi_g', '_PcRyvbZmVQvlS5uORDGVA']","[215.0, 203.0]",3,2
197,197,E 4th St,600,1100,37,"['d94ea4c2e722f4e70abdd64dfa9798ae868f6995', '57748ef1fb8b78f1ef6ae87ee9b636ec02d44365']","[801.0, 914.0]",[],[],2,0
198,198,E 4th St,1100,1600,49,"['de9a0a7df57a87c3875c4ecdb38d861f38dc1e8e', '10f8296bfb258ee948452b4fdf04faadc37e17a3', '6d0764d6ad22e4cd746adbd983da4d1a18c94c59']","[1510.0, 1307.0, 1527.0]",[],[],3,0
199,199,E 4th St,1600,2100,0,[],[],[],[],0,0
